Year,Host,Winner,Runner_Up,Third,Fourth,Teams,Matches,Goals,Goals_Per_Match,Flag_URL
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,13,18,70,3.89,https://flagcdn.com/w320/uy.png
1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,https://flagcdn.com/w320/it.png
1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,https://flagcdn.com/w320/fr.png
1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,https://flagcdn.com/w320/br.png
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,https://flagcdn.com/w320/ch.png
1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,https://flagcdn.com/w320/se.png
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,https://flagcdn.com/w320/cl.png
1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,https://flagcdn.com/w320/gb-eng.png
1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,https://flagcdn.com/w320/mx.png
1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,https://flagcdn.com/w320/de.png
1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,https://flagcdn.com/w320/ar.png
1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,https://flagcdn.com/w320/es.png
1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,https://flagcdn.com/w320/mx.png
1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,https://flagcdn.com/w320/it.png
1994,USA,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,https://flagcdn.com/w320/us.png
1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,https://flagcdn.com/w320/fr.png
2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,https://flagcdn.com/w320/jp.png
2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,https://flagcdn.com/w320/de.png
2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,https://flagcdn.com/w320/za.png
2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,https://flagcdn.com/w320/br.png
2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,https://flagcdn.com/w320/ru.png
2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,https://flagcdn.com/w320/qa.png
