Year,Host,Winner,Runner_Up,Third,Fourth,Teams,Matches,Goals
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,13,18,70
1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70
1938,France,Italy,Hungary,Brazil,Sweden,15,18,84
1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140
1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89
1966,England,England,West Germany,Portugal,Soviet Union,16,32,89
1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95
1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97
1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102
1982,Spain,Italy,West Germany,Poland,France,24,52,146
1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132
1990,Italy,West Germany,Argentina,Italy,England,24,52,115
1994,USA,Brazil,Italy,Sweden,Bulgaria,24,52,141
1998,France,France,Brazil,Croatia,Netherlands,32,64,171
2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161
2006,Germany,Italy,France,Germany,Portugal,32,64,147
2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145
2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171
2018,Russia,France,Croatia,Belgium,England,32,64,169
2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172
